ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G
artichoke stuff,1 stuffed globe,250.0,85.0,22.28,1.43,5.94,32.0,5.33,404.0,14.0,5.3,0.0
andor asian chicken chicken crispy crispy dress fruit garden lettuce noodle noodle nut salad turkey turkey,1 salad,346.0,43.0,8.11,0.82,5.26,38.0,10.24,167.0,127.0,10.5,0.0
andor asian chicken chicken dress fruit garden lettuce nut salad turkey turkey,Quantity not specified,315.0,39.0,9.5,0.96,5.46,35.0,11.44,176.0,108.0,10.0,0.0
add asian cook fat fry stir vegetable,1 cup,132.0,35.0,9.65,1.01,2.84,17.0,2.01,146.0,231.0,35.3,0.0
add asian cook fat fry stir vegetable,1 cup,127.0,36.0,9.93,1.04,0.3,18.0,2.07,141.0,226.0,36.3,0.0
asparagus cook form n,Quantity not specified,93.0,25.0,4.04,2.23,2.86,15.0,2.3,132.0,50.0,5.0,0.0
asparagus butter can cook margarine,1 cup,245.0,16.0,2.4,1.78,2.82,10.0,2.09,296.0,63.0,16.1,0.1
asparagus can cook oil,1 cup,245.0,16.0,2.39,1.78,3.54,10.0,2.08,279.0,40.0,16.1,0.0
add asparagus can cook fat fat n type,Quantity not specified,123.0,16.0,2.39,1.78,3.18,10.0,2.09,287.0,51.0,16.1,0.0
add asparagus can cook fat,Quantity not specified,120.0,16.0,2.46,1.83,0.65,10.0,2.14,287.0,41.0,16.6,0.0
asparagus butter cook fresh margarine,1 spear,16.0,26.0,4.05,2.23,2.48,15.0,2.31,141.0,62.0,5.0,0.1
asparagus cook fresh oil,1 piece,4.0,25.0,4.04,2.23,3.25,15.0,2.29,123.0,38.0,5.0,0.0
add asparagus cook fat fat fresh n type,1 cup,185.0,25.0,4.04,2.23,2.86,15.0,2.3,132.0,50.0,5.0,0.0
add asparagus cook fat fresh,1 piece,4.0,26.0,4.16,2.29,0.13,15.0,2.36,127.0,39.0,5.1,0.0
asparagus butter cook freeze margarine,1 cup,185.0,18.0,1.87,0.54,2.59,10.0,2.87,132.0,61.0,23.6,0.0
asparagus cook freeze oil,1 piece,4.0,18.0,1.86,0.55,3.31,10.0,2.86,115.0,39.0,23.6,0.0
add asparagus cook fat fat freeze n type,1 spear,16.0,18.0,1.86,0.55,2.95,10.0,2.86,124.0,50.0,23.6,0.0
add asparagus cook fat freeze,1 piece,4.0,18.0,1.91,0.56,0.42,10.0,2.94,119.0,40.0,24.3,0.0
asparagus,Quantity not specified,68.0,24.0,3.88,2.14,0.12,14.0,2.2,2.0,38.0,5.6,0.0
atole,Quantity not specified,248.0,59.0,16.28,0.17,1.54,9.0,1.69,18.0,14.0,0.0,0.5
atole avena de,1 fl oz,31.0,56.0,15.46,0.1,1.58,9.0,1.74,18.0,14.0,0.0,0.5
atole chocolate de,1 cup,248.0,59.0,20.3,0.3,1.78,10.0,1.8,30.0,13.0,0.4,0.6
avocado dress,1 tablespoon,15.3,34.0,7.36,0.35,43.33,7.0,1.9,867.0,10.0,0.2,0.0
avocado sandwich use,Guideline amount on large sandwich,45.0,12.0,8.53,0.55,14.66,29.0,2.0,7.0,7.0,10.0,0.0
avocado,1 fruit,150.0,12.0,8.53,0.55,14.66,29.0,2.0,7.0,7.0,10.0,0.0
apple baby stage toddler,Quantity not specified,110.0,4.0,10.8,0.22,0.2,3.0,0.2,0.0,1.0,38.3,0.0
apple baby stage toddler,1 tub,110.0,5.0,10.3,0.22,0.0,3.0,0.0,1.0,0.0,37.8,0.0
baby banana stage toddler,1 tub,70.0,4.0,21.34,0.3,0.2,26.0,1.0,2.0,0.0,21.9,0.0
baby banana stage toddler,1 pouch,110.0,4.0,21.34,0.3,0.2,26.0,1.0,2.0,0.0,21.9,0.0
baby bar toddler,1 bar,20.0,1053.0,68.63,13.16,5.3,19.0,5.43,157.0,14.0,2.4,0.0
baby beef toddler,1 tablespoon,15.0,5.0,2.43,0.98,2.52,11.0,12.03,41.0,0.0,2.1,0.4
baby beet toddler,1 jar,110.0,14.0,7.7,0.32,0.1,14.0,1.3,83.0,1.0,2.4,0.0
baby biscuit toddler,Quantity not specified,7.0,320.0,80.53,4.72,2.97,51.0,11.37,300.0,7.0,2.3,0.1
baby carrot stage toddler,1 tub,70.0,22.0,6.0,0.37,0.1,9.0,0.8,69.0,573.0,5.7,0.0
baby carrot stage toddler,1 tub,110.0,23.0,7.2,0.39,0.2,11.0,0.8,49.0,591.0,5.5,0.0
