ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G
bar chocolate coat cream ice vanilla,1 miniature,50.0,119.0,24.5,0.29,24.1,28.0,4.1,68.0,19.0,0.0,0.2
cake cream ice,1 cubic inch,9.6,99.0,39.28,0.48,12.67,9.0,2.95,196.0,68.0,0.3,0.2
bar candy cream ice,1 bar,50.0,252.0,30.9,0.72,20.2,29.0,4.4,92.0,48.0,0.7,0.2
cone cream ice,1 cone,125.0,120.0,28.47,0.43,11.13,16.0,3.75,97.0,108.0,0.6,0.2
chocolate cone cream ice prepackaged,1 cone,95.0,64.0,34.62,0.14,21.8,34.0,5.35,93.0,32.0,0.0,0.1
chocolate cone cream ice scoop,1 cone,125.0,106.0,30.23,1.04,10.84,29.0,3.97,83.0,113.0,0.7,0.2
chocolate cone cone cream ice scoop waffle,1 cone,255.0,105.0,31.49,1.14,10.58,29.0,4.04,89.0,111.0,0.7,0.2
cone cream ice scoop vanilla,Quantity not specified,125.0,124.0,25.82,0.23,10.84,14.0,3.68,87.0,113.0,0.6,0.2
cone cone cream ice scoop vanilla waffle,Quantity not specified,255.0,123.0,27.16,0.34,10.58,15.0,3.76,93.0,111.0,0.6,0.2
chocolate cone cream ice serve soft,Quantity not specified,125.0,154.0,27.83,0.81,7.18,20.0,5.12,78.0,68.0,1.2,0.1
chocolate cone cone cream ice serve soft waffle,1 cone,255.0,152.0,29.14,0.91,6.99,21.0,5.17,84.0,67.0,1.1,0.1
cone cream ice serve soft vanilla,Quantity not specified,125.0,156.0,31.44,0.33,4.91,14.0,4.91,81.0,123.0,1.2,0.1
cone cone cream ice serve soft vanilla waffle,Quantity not specified,255.0,154.0,32.67,0.44,4.77,15.0,4.96,87.0,120.0,1.1,0.1
cone cream ice prepackaged vanilla,1 cone,95.0,63.0,34.38,0.0,21.88,29.0,5.21,94.0,32.0,0.0,0.1
cookie cream ice sandwich,1 sandwich,75.0,70.0,43.35,1.5,14.11,22.0,4.61,232.0,65.0,0.3,0.1
chocolate cream ice sandwich,1 sandwich,75.0,90.0,39.33,1.7,11.8,35.0,4.5,202.0,89.0,0.5,0.2
cream ice sandwich vanilla,1 sandwich,75.0,104.0,35.88,1.07,11.8,24.0,4.28,205.0,89.0,0.4,0.2
chocolate cream ice soda,Quantity not specified,240.0,32.0,15.23,0.28,2.9,8.0,1.0,30.0,31.0,0.2,0.1
chocolate cream flavor ice soda,Quantity not specified,240.0,37.0,14.02,0.06,2.9,4.0,0.92,31.0,31.0,0.2,0.1
cream ice sundae,Quantity not specified,180.0,108.0,31.94,0.36,11.16,21.0,3.7,137.0,97.0,0.5,0.2
caramel cream ice sundae top,Quantity not specified,180.0,108.0,30.63,0.07,9.18,12.0,2.95,136.0,101.0,0.6,0.2
cream fruit ice sundae top,Quantity not specified,180.0,99.0,32.7,0.13,9.2,12.0,2.72,65.0,97.0,3.5,0.2
cream fudge hot ice sundae top,1 sundae,180.0,108.0,31.94,0.36,11.16,21.0,3.7,137.0,97.0,0.5,0.2
cream ice,1 small ice cream cup,120.0,124.0,26.36,0.3,11.3,16.0,3.57,90.0,112.0,0.6,0.2
chocolate cream ice,Quantity not specified,135.0,109.0,28.2,0.93,11.0,29.0,3.8,76.0,118.0,0.7,0.2
additional chocolate cream ice ingredient,1 scoop,125.0,102.0,34.39,1.32,11.76,32.0,3.93,102.0,103.0,0.6,0.2
cream fry ice,Quantity not specified,135.0,112.0,32.77,0.79,15.16,18.0,3.94,159.0,90.0,0.5,0.2
chocolate cream ice serve soft,1 cup,175.0,159.0,25.7,0.69,7.19,20.0,5.0,71.0,71.0,1.2,0.1
cream ice serve soft vanilla,1 cup,175.0,161.0,29.46,0.19,4.83,14.0,4.78,74.0,128.0,1.2,0.1
cream ice vanilla,1 large ice cream cup,360.0,128.0,23.6,0.09,11.0,14.0,3.5,80.0,118.0,0.6,0.2
additional cream ice ingredient vanilla,1 small ice cream cup,125.0,118.0,30.51,0.61,11.76,19.0,3.67,105.0,103.0,0.6,0.2
brew coffee ice,1 fl oz,30.0,2.0,0.0,0.01,0.02,3.0,0.09,2.0,0.0,0.0,0.0
brew coffee decaffeinate ice,1 large,600.0,2.0,0.0,0.04,0.0,4.0,0.08,2.0,0.0,0.0,0.0
coffee ice prelightened presweetened,1 large,620.0,7.0,4.94,0.01,1.12,3.0,0.25,6.0,7.0,0.0,0.1
drink ice juice lemonade tea,1 fl oz (with ice),23.0,4.0,9.15,0.04,0.05,5.0,0.2,12.0,1.0,6.3,0.0
diet drink ice juice lemonade tea,Quantity not specified,240.0,6.0,0.57,0.0,0.0,1.0,0.0,4.0,0.0,2.3,0.0
drink ice juice lemonade light tea,1 fl oz (NFS),30.0,5.0,6.12,0.04,0.04,5.0,0.22,13.0,1.0,7.1,0.0
chocolate ice,1 cup,290.0,8.0,63.2,1.42,17.6,21.0,1.1,183.0,0.0,0.0,0.0
ice white,1 cup,290.0,3.0,67.89,0.16,16.23,1.0,0.0,184.0,0.0,0.0,0.0
idli,1 item,38.0,10.0,24.98,0.89,0.35,25.0,6.36,252.0,0.0,0.2,0.0
cheese imitation,"1 cup, NFS",113.0,705.0,1.0,0.7,32.0,30.0,25.0,670.0,115.0,0.0,0.0
crab imitation meat,Quantity not specified,85.0,13.0,15.0,0.39,0.46,43.0,7.62,529.0,0.0,0.0,0.0
ar enfamil formula infant make powder water,1 fl oz,30.5,50.0,7.43,1.18,3.24,5.0,1.6,26.0,58.0,7.8,1.0
ar enfamil formula infant readytofeed,1 fl oz,30.5,50.0,7.43,1.18,3.24,5.0,1.6,26.0,58.0,7.8,1.0
baby enfamil formula gentlease infant make powder water,1 fl oz,30.5,54.0,7.31,1.19,3.49,5.0,1.51,24.0,60.0,7.9,1.0
bottle enfamil formula gentlease infant make powder water,1 fl oz,30.5,63.0,7.31,1.19,3.49,7.0,1.51,26.0,60.0,7.9,1.0
enfamil formula gentlease infant make powder tap water,1 fl oz,30.5,57.0,7.31,1.19,3.49,6.0,1.51,27.0,60.0,7.9,1.0
enfamil formula gentlease infant readytofeed,1 fl oz,30.5,54.0,7.31,1.19,3.49,5.0,1.51,24.0,60.0,7.9,1.0
baby enfamil formula infant infant make powder water,1 fl oz,30.5,50.0,7.38,1.19,3.49,5.0,1.4,18.0,59.0,8.0,1.0
bottle enfamil formula infant infant make powder water,1 fl oz,30.5,59.0,7.38,1.19,3.49,7.0,1.4,20.0,59.0,8.0,1.0
enfamil formula infant infant make powder tap water,1 fl oz,30.5,53.0,7.38,1.19,3.49,6.0,1.4,21.0,59.0,8.0,1.0
enfamil formula infant infant readytofeed,1 fl oz,30.5,50.0,7.38,1.19,3.49,5.0,1.4,18.0,59.0,8.0,1.0
enfamil formula infant make nutramigen powder water,1 fl oz,30.5,61.0,6.94,1.18,3.49,5.0,1.82,31.0,58.0,7.9,0.8
enfamil formula infant nutramigen readytofeed,1 fl oz,30.5,61.0,6.94,1.18,3.49,5.0,1.82,31.0,58.0,7.9,0.8
enfamil formula infant make powder pregestimil water,1 fl oz,30.5,61.0,6.76,1.16,3.62,5.0,1.81,31.0,69.0,7.8,0.8
enfamil formula infant pregestimil readytofeed,1 fl oz,30.5,61.0,6.76,1.16,3.62,5.0,1.81,31.0,69.0,7.8,0.8
baby enfamil formula infant make powder prosobee water,1 fl oz,30.5,69.0,7.07,1.23,3.49,5.0,1.64,24.0,60.0,7.9,1.0
bottle enfamil formula infant make powder prosobee water,1 fl oz,30.5,77.0,7.07,1.23,3.49,7.0,1.64,25.0,60.0,7.9,1.0
enfamil formula infant make powder prosobee tap water,1 fl oz,30.5,71.0,7.07,1.23,3.49,6.0,1.64,27.0,60.0,7.9,1.0
enfamil formula infant prosobee readytofeed,1 fl oz,30.5,69.0,7.07,1.23,3.49,5.0,1.64,24.0,60.0,7.9,1.0
enfamil formula infant,1 fl oz,30.5,51.0,7.36,1.19,3.49,5.0,1.43,19.0,59.0,8.0,1.0
baby formula gentle gerber good infant make powder stage start water,1 fl oz,30.5,44.0,7.3,0.99,3.34,5.0,1.45,18.0,60.0,6.5,1.0
bottle formula gentle gerber good infant make powder stage start water,1 fl oz,30.5,53.0,7.3,0.99,3.34,6.0,1.45,19.0,60.0,6.5,1.0
formula gentle gerber good infant make powder stage start tap water,1 fl oz,30.5,47.0,7.3,0.99,3.34,5.0,1.45,21.0,60.0,6.5,1.0
formula gentle gerber good infant readytofeed stage start,1 fl oz,30.5,44.0,7.3,0.99,3.34,5.0,1.45,18.0,60.0,6.5,1.0
formula gentle gerber good infant stage start,1 fl oz,30.5,44.0,7.3,0.99,3.34,5.0,1.45,18.0,60.0,6.5,1.0
baby formula gerber good infant make powder soy stage start water,1 fl oz,30.5,67.0,7.12,1.15,3.28,7.0,1.6,26.0,58.0,7.7,1.0
bottle formula gerber good infant make powder soy stage start water,1 fl oz,30.5,76.0,7.12,1.15,3.28,9.0,1.6,27.0,58.0,7.7,1.0
formula gerber good infant make powder soy stage start tap water,1 fl oz,30.5,70.0,7.12,1.15,3.28,8.0,1.6,29.0,58.0,7.7,1.0
formula gerber good infant readytofeed soy stage start,1 fl oz,30.5,67.0,7.12,1.15,3.28,7.0,1.6,26.0,58.0,7.7,1.0
formula gerber infant,1 fl oz,30.5,50.0,7.26,1.03,3.33,5.0,1.49,20.0,59.0,6.8,1.0
formula infant,1 fl oz,30.5,51.0,7.12,1.19,3.56,5.0,1.38,17.0,59.0,7.0,1.0
advance baby formula infant make powder similac water,1 fl oz,30.5,51.0,6.87,1.19,3.62,4.0,1.37,16.0,59.0,5.9,1.0
advance bottle formula infant make powder similac water,1 fl oz,30.5,60.0,6.87,1.19,3.62,6.0,1.37,18.0,59.0,5.9,1.0
advance formula infant make powder similac tap water,1 fl oz,30.5,54.0,6.87,1.19,3.62,5.0,1.37,19.0,59.0,5.9,1.0
advance formula infant readytofeed similac,1 fl oz,30.5,51.0,6.87,1.19,3.62,4.0,1.37,16.0,59.0,5.9,1.0
alimentum formula infant make powder similac water,1 fl oz,30.5,69.0,6.77,1.18,3.63,5.0,1.8,29.0,59.0,5.9,0.7
alimentum formula infant readytofeed similac,1 fl oz,30.5,69.0,6.77,1.18,3.63,5.0,1.8,29.0,59.0,5.9,0.7
baby formula infant isomil make powder similac soy water,1 fl oz,30.5,68.0,6.73,1.16,3.53,5.0,1.58,28.0,58.0,5.8,1.0
bottle formula infant isomil make powder similac soy water,1 fl oz,30.5,77.0,6.73,1.16,3.53,7.0,1.58,30.0,58.0,5.8,1.0
formula infant isomil make powder similac soy tap water,1 fl oz,30.5,70.0,6.73,1.16,3.53,6.0,1.58,32.0,58.0,5.8,1.0
formula infant isomil readytofeed similac soy,1 fl oz,30.5,68.0,6.73,1.16,3.53,5.0,1.58,28.0,58.0,5.8,1.0
baby formula infant make powder sensitive similac water,1 fl oz,30.5,55.0,6.99,1.17,3.53,4.0,1.4,20.0,59.0,5.7,1.2
bottle formula infant make powder sensitive similac water,1 fl oz,30.5,63.0,6.99,1.17,3.53,6.0,1.4,22.0,59.0,5.7,1.2
formula infant make powder sensitive similac tap water,1 fl oz,30.5,57.0,6.99,1.17,3.53,5.0,1.4,23.0,59.0,5.7,1.2
formula infant readytofeed sensitive similac,1 fl oz,30.5,55.0,6.99,1.17,3.53,4.0,1.4,20.0,59.0,5.7,1.2
diarrhea formula infant similac,1 fl oz,30.5,69.0,6.67,1.18,3.6,5.0,1.76,29.0,60.0,5.9,1.0
formula infant make powder similac spitup water,1 fl oz,30.5,54.0,6.9,1.17,3.48,4.0,1.38,19.0,59.0,5.8,1.0
formula infant readytofeed similac spitup,1 fl oz,30.5,54.0,6.9,1.17,3.48,4.0,1.38,19.0,59.0,5.8,1.0
formula infant similac,1 fl oz,30.5,52.0,6.9,1.18,3.6,4.0,1.37,17.0,59.0,5.9,1.0
acid amino formula infant,1 fl oz,30.5,61.0,7.21,1.16,3.36,7.0,1.8,30.0,58.0,7.8,0.8
formula infant iron low,1 fl oz,30.5,36.0,6.9,0.44,3.6,4.0,1.43,15.0,58.0,5.8,1.0
formula infant make organic powder water,1 fl oz,30.5,51.0,7.12,1.19,3.56,5.0,1.38,17.0,59.0,7.0,1.0
formula infant organic readytofeed,1 fl oz,30.5,51.0,7.12,1.19,3.56,5.0,1.38,17.0,59.0,7.0,1.0
formula infant make powder premature water,1 fl oz,30.5,79.0,7.34,1.25,3.78,6.0,1.96,25.0,96.0,10.9,1.3
formula infant premature readytofeed,1 fl oz,30.5,79.0,7.34,1.25,3.78,6.0,1.96,25.0,96.0,10.9,1.3
add brand formula infant rice store,1 fl oz,30.5,52.0,7.17,1.18,3.36,5.0,1.49,23.0,58.0,6.8,1.0
advantage baby brand formula infant make powder store tender water,1 fl oz,30.5,51.0,7.12,1.19,3.56,5.0,1.38,17.0,59.0,7.0,1.0
advantage bottle brand formula infant make powder store tender water,1 fl oz,30.5,60.0,7.12,1.19,3.56,6.0,1.38,19.0,59.0,7.0,1.0
advantage brand formula infant make powder store tap tender water,1 fl oz,30.5,54.0,7.12,1.19,3.56,6.0,1.38,20.0,59.0,7.0,1.0
brand formula gentle infant sensitivity store,1 fl oz,30.5,55.0,7.15,1.18,3.51,5.0,1.46,22.0,59.0,6.8,1.1
brand formula infant soy store,1 fl oz,30.5,68.0,6.9,1.2,3.51,5.0,1.61,26.0,59.0,6.9,1.0
bread ethiopian injera,"1 cup, pieces",68.0,11.0,19.39,0.98,0.68,43.0,2.55,226.0,0.0,0.0,0.0
ice italian,Quantity not specified,130.0,2.0,32.6,0.16,0.0,1.0,0.4,22.0,0.0,1.0,0.0
add ice italian sugar,1 cup,130.0,0.0,5.92,0.67,0.0,1.0,0.0,10.0,0.0,10.4,0.0
dress fat free italian,1 tablespoon,14.0,30.0,8.75,0.4,0.87,5.0,0.97,1129.0,4.0,0.4,0.0
dress italian light,1 cup,216.0,15.0,9.99,0.25,6.68,4.0,0.39,891.0,1.0,0.0,0.0
dress italian make oil vinegar,1 packet,44.0,13.0,12.12,0.26,21.12,5.0,0.41,993.0,2.0,0.4,0.0
italian sandwich wheat,1 large,250.0,181.0,17.53,1.76,18.92,34.0,16.42,1006.0,36.0,0.0,0.9
italian sandwich white,Quantity not specified,165.0,199.0,18.9,1.83,18.78,23.0,15.7,1010.0,36.0,0.0,0.9
italian restaurant sandwich sub,1 regular,195.0,205.0,16.42,1.7,20.05,23.0,16.23,1053.0,41.0,0.0,1.0
italian sausage,1 slice,15.0,12.0,2.15,1.29,26.2,19.0,18.2,766.0,22.0,0.0,1.0
italian sandwich sausage wheat,Quantity not specified,135.0,78.0,21.38,2.12,16.32,36.0,15.18,621.0,12.0,0.1,0.6
italian sandwich sausage white,Quantity not specified,135.0,71.0,23.47,2.24,16.29,21.0,14.45,645.0,12.0,0.6,0.6
jagerbomb,1 shot,180.0,5.0,15.97,0.06,0.03,14.0,0.34,30.0,0.0,0.0,0.0
food jai monk,1 cup,188.0,54.0,7.72,0.82,1.86,21.0,4.25,28.0,0.0,5.8,0.0
jam,1 tablespoon,20.0,20.0,68.86,0.49,0.07,4.0,0.37,32.0,0.0,8.8,0.0
jam jelly,Quantity not specified,20.0,11.0,67.12,0.29,0.03,5.0,0.18,26.0,0.0,5.5,0.0
fruit jam jelly juice sweeten,1 individual packet,14.0,11.0,52.93,0.34,0.0,5.0,0.0,0.0,1.0,18.1,0.0
jam jelly reduce sugar,1 tablespoon,20.0,0.0,37.6,0.0,0.1,4.0,0.0,0.0,0.0,15.0,0.0
free jam jelly sugar,Guideline amount per slice of bread/roll,10.0,31.0,29.6,0.15,0.0,4.0,0.55,3.0,35.0,0.0,0.0
jambalaya meat rice,1 cup,244.0,24.0,8.65,1.11,7.97,19.0,13.76,379.0,8.0,7.2,0.2
jelly,1 tablespoon,20.0,7.0,69.95,0.19,0.02,6.0,0.15,30.0,0.0,0.9,0.0
jelly sandwich,1 sandwich (1 slice bread),50.0,129.0,57.5,2.09,2.16,19.0,5.72,282.0,0.0,0.4,0.0
bread jelly sandwich wheat,1 sandwich,100.0,100.0,55.23,1.97,2.39,36.0,6.9,276.0,0.0,0.4,0.0
bread jelly sandwich white,1 sandwich,100.0,129.0,57.5,2.09,2.16,19.0,5.72,282.0,0.0,0.4,0.0
jicama,1 whole,660.0,12.0,8.82,0.6,0.09,12.0,0.72,4.0,1.0,20.2,0.0
johnnycake,Quantity not specified,49.0,106.0,43.82,2.25,7.46,25.0,7.98,871.0,63.0,0.5,0.8
cook form kale n,1 cup,135.0,265.0,4.61,1.67,4.29,34.0,3.05,185.0,251.0,68.1,0.0
add cook fat fresh kale,Quantity not specified,68.0,265.0,4.61,1.67,4.29,34.0,3.05,185.0,251.0,68.1,0.0
add cook fat fresh kale,Quantity not specified,65.0,272.0,4.74,1.72,1.6,35.0,3.13,181.0,245.0,70.1,0.0
add cook fat freeze kale,Quantity not specified,88.0,146.0,5.14,0.82,3.72,24.0,2.85,136.0,153.0,17.2,0.0
add cook fat freeze kale,Quantity not specified,85.0,150.0,5.28,0.84,1.21,25.0,2.93,132.0,146.0,17.7,0.0
kale,1 baby leaf,1.0,254.0,4.42,1.6,1.49,33.0,2.92,53.0,241.0,93.4,0.0
kamikaze,1 fl oz,30.0,3.0,6.93,0.09,0.07,2.0,0.06,5.0,0.0,1.6,0.0
kefir,1 fl oz,30.5,124.0,7.48,0.04,0.96,12.0,3.59,38.0,174.0,0.8,1.0
ketchup,1 cup,272.0,14.0,27.1,0.39,0.32,14.0,1.08,928.0,26.0,4.1,0.0
ketchup reduce sodium,1 cup,272.0,15.0,27.4,0.35,0.1,13.0,1.04,20.0,26.0,4.1,0.0
kibby puerto rican style,Quantity not specified,110.0,22.0,17.99,1.25,7.2,44.0,8.76,558.0,1.0,0.9,0.0
kidney,1 kidney,230.0,19.0,0.0,5.75,4.61,12.0,27.05,400.0,0.0,0.0,1.1
bean brown kidney rice,1 cup,170.0,18.0,23.02,1.8,4.63,41.0,5.81,211.0,0.0,0.6,0.0
bean fast food kidney restaurant rice,Quantity not specified,170.0,19.0,23.17,2.06,7.07,29.0,5.72,296.0,0.0,0.6,0.0
bean kidney rice white,1 cup,170.0,20.0,23.91,2.12,4.29,30.0,5.9,229.0,0.0,0.6,0.0
bean kidney meat,1 cup,260.0,24.0,18.33,2.62,6.78,39.0,10.46,275.0,1.0,0.9,0.1
bean kidney,Quantity not specified,92.0,26.0,21.19,2.74,6.97,42.0,8.06,218.0,0.0,1.1,0.0
add bean can fat kidney,Quantity not specified,92.0,47.0,23.79,2.02,6.82,48.0,8.37,299.0,0.0,1.2,0.0
add bean can fat kidney,Quantity not specified,90.0,48.0,24.72,2.08,0.6,50.0,8.7,311.0,0.0,1.3,0.0
bean can kidney reduce sodium,Quantity not specified,92.0,47.0,23.79,2.02,6.82,48.0,8.37,188.0,0.0,1.2,0.0
add bean dry fat kidney,1 cup,185.0,26.0,21.19,2.74,6.97,42.0,8.06,218.0,0.0,1.1,0.0
add bean dry fat kidney,"1 oz dry, yield after cooking",70.0,28.0,22.66,2.92,0.5,45.0,8.62,233.0,0.0,1.1,0.0
bean fast food kidney restaurant,Quantity not specified,130.0,26.0,20.54,2.66,9.46,41.0,7.81,350.0,0.0,1.0,0.0
kimchi,Quantity not specified,30.0,33.0,2.4,2.5,0.5,14.0,1.1,498.0,5.0,0.0,0.0
fruit kiwi,1 fruit,75.0,35.0,14.0,0.24,0.44,16.0,1.06,5.0,4.0,74.7,0.0
knish,Quantity not specified,60.0,46.0,31.92,2.55,19.73,16.0,10.51,445.0,209.0,0.0,1.3
knockwurst,1 cubic inch,17.0,11.0,3.2,0.66,27.7,11.0,11.1,930.0,0.0,0.0,1.1
cook kohlrabi,Quantity not specified,85.0,25.0,6.26,0.41,2.75,19.0,1.72,146.0,14.0,53.1,0.0
kohlrabi,Quantity not specified,68.0,24.0,6.2,0.4,0.1,19.0,1.7,20.0,2.0,62.0,0.0
dress korean marinade,1 cup,246.0,17.0,12.66,0.74,31.41,31.0,3.17,1850.0,0.0,0.1,0.0
kumquat,Quantity not specified,19.0,62.0,15.9,0.86,0.86,20.0,1.88,10.0,15.0,43.9,0.0
beef kung pao,1 cup,162.0,16.0,4.55,1.57,14.44,29.0,17.93,175.0,15.0,11.7,0.1
kung pao pork,Quantity not specified,121.0,22.0,4.55,0.84,14.76,33.0,16.89,183.0,16.0,12.0,0.4
kung pao shrimp,Quantity not specified,121.0,59.0,5.32,0.45,10.74,37.0,13.94,210.0,58.0,11.7,0.1
chicken kung pao,Quantity not specified,121.0,20.0,6.87,0.76,6.98,24.0,9.76,402.0,65.0,7.1,0.0
ball ladoo round,Quantity not specified,60.0,26.0,46.74,1.3,22.25,24.0,6.92,140.0,187.0,0.9,0.1
gravy lamb mutton noodle,1 cup,249.0,13.0,15.63,1.15,5.48,16.0,6.8,314.0,4.0,0.0,0.1
gravy lamb mutton potato,Quantity not specified,189.0,11.0,12.53,0.5,6.46,16.0,5.13,308.0,0.0,4.0,0.0
lamb mutton potato sauce tomatobased,Quantity not specified,189.0,12.0,12.48,0.78,6.22,19.0,5.26,301.0,7.0,6.2,0.0
lamb loaf mutton,Quantity not specified,70.0,50.0,7.44,1.29,11.58,17.0,14.05,467.0,35.0,0.5,0.5
gravy lamb mutton,1 slice with gravy,43.0,15.0,1.58,1.34,15.37,17.0,17.29,359.0,0.0,0.0,0.1
andor broccoli carrot darkgreen gravy include lamb leafy mutton rice vegetable,1 cup,252.0,16.0,15.2,0.92,5.5,11.0,5.02,315.0,81.0,3.8,0.0
broccoli carrot darkgreen exclude gravy lamb leafy mutton rice vegetable,1 cup,252.0,14.0,16.34,0.92,5.51,13.0,5.05,309.0,3.0,0.7,0.0
andor broccoli carrot darkgreen include lamb leafy mutton rice sauce tomatobased vegetable,Quantity not specified,315.0,17.0,15.15,1.15,5.31,15.0,5.13,316.0,86.0,5.7,0.0
exclude kabob lamb potato shish vegetable,1 shishkabob,202.0,18.0,5.06,1.02,10.28,17.0,12.02,222.0,10.0,15.0,0.0
cut lamb n,1 oz yields,20.0,17.0,0.0,1.86,20.77,23.0,24.32,379.0,0.0,0.0,0.1
chop lamb,1 oz yields,20.0,20.0,0.0,1.89,16.27,26.0,27.36,387.0,0.0,0.0,0.1
grind lamb,1 oz yields,20.0,22.0,0.0,1.78,19.49,24.0,24.55,388.0,0.0,0.0,0.1
cook lambsquarter,Quantity not specified,93.0,250.0,4.85,0.68,3.22,22.0,3.11,149.0,390.0,35.8,0.0
lard,1 cup,192.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.5
chicken lasagna turkey,1 surface inch,20.7,266.0,14.01,0.85,10.37,25.0,13.74,387.0,94.0,0.7,0.2
lasagna meat,Quantity not specified,250.0,82.0,16.17,0.73,4.97,20.0,7.45,390.0,42.0,4.4,0.0
lasagna meat spinach,"1 lasagna (8"" square)",1235.0,262.0,13.76,0.96,10.79,26.0,13.33,412.0,98.0,1.3,0.2
can lasagna meat,1 can (15 oz),425.0,12.0,13.26,1.09,3.41,12.0,3.24,283.0,14.0,0.0,0.0
lasagna meat restaurant,1 cup,250.0,197.0,11.36,0.79,10.69,22.0,10.83,466.0,81.0,0.7,0.0
freeze lasagna meat,1 cup,250.0,73.0,14.39,0.65,4.42,18.0,6.63,347.0,37.0,4.1,0.0
home lasagna meat recipe,"1 piece (1/6 of 8"" square, approx 2-1/2"" x 4"")",206.0,272.0,13.1,0.9,10.92,22.0,13.63,416.0,90.0,3.0,0.2
lasagna meatless,"1 lasagna (7"" x 12"")",2048.0,111.0,13.84,1.27,5.33,21.0,6.54,284.0,44.0,13.7,0.0
lasagna meatless vegetable,"1 piece (1/6 of 8"" square, approx 2-1/2"" x 4"")",227.0,268.0,14.52,0.76,9.38,26.0,11.2,384.0,102.0,3.5,0.2
chicken lasagna spinach turkey,1 cup,250.0,262.0,13.76,0.86,10.14,27.0,13.51,381.0,101.0,1.3,0.2
lau lau,1 lau lau,214.0,14.0,0.0,0.52,8.32,18.0,15.25,231.0,5.0,0.1,1.7
dip layer,Quantity not specified,60.0,142.0,6.67,1.05,11.33,19.0,5.41,538.0,82.0,5.0,0.1
leek,Quantity not specified,85.0,62.0,14.74,2.19,3.05,29.0,1.57,151.0,94.0,10.6,0.0
lefse,1 surface inch,1.2,18.0,36.39,1.75,6.34,22.0,4.37,172.0,56.0,4.8,0.2
form juice lemon n,Quantity not specified,8.0,6.0,6.9,0.08,0.24,6.0,0.35,1.0,0.0,38.7,0.0
bottle can juice lemon,1 fl oz (NFS),31.0,10.0,5.62,0.06,0.07,7.0,0.45,24.0,2.0,14.3,0.0
freshly juice lemon squeeze,"Juice of 1 lemon (2-1/8"" dia)",47.0,6.0,6.9,0.08,0.24,6.0,0.35,1.0,0.0,38.7,0.0
fill lemon pie,Quantity not specified,130.0,21.0,68.92,0.98,6.93,7.0,4.71,73.0,91.0,9.4,0.9
lemon,1 slice or wedge,8.0,26.0,9.32,0.6,0.3,8.0,1.1,2.0,1.0,53.0,0.0
lemonbutter sauce,1 tablespoon,16.0,20.0,0.74,0.06,74.0,2.0,0.8,472.0,682.0,3.9,0.4
concentrate freeze lemonade reconstitute,1 can (6 fl oz),219.0,7.0,49.89,0.09,0.7,7.0,0.22,7.0,0.0,13.1,0.0
drink flavor fruit lemonade,1 fl oz (with ice),23.0,4.0,6.55,0.01,0.07,12.0,0.0,12.0,0.0,2.7,0.0
drink fruit juice lemonade,Quantity not specified,248.0,2.0,12.08,0.0,0.0,2.0,0.0,6.0,0.0,3.1,0.0
drink fruit juice lemonade light,1 fl oz (with ice),23.0,2.0,5.0,0.0,0.0,2.0,0.0,5.0,0.0,25.0,0.0
curry lentil,Quantity not specified,240.0,25.0,12.33,1.42,5.65,23.0,3.68,383.0,37.0,7.7,0.0
curry lentil rice,1 cup,200.0,19.0,18.6,1.33,3.5,19.0,3.28,328.0,22.0,4.6,0.0
lentil,1 cup,185.0,18.0,18.71,3.1,6.86,33.0,8.38,218.0,0.0,1.3,0.0
can lentil,Quantity not specified,92.0,18.0,18.66,3.1,6.84,33.0,8.36,325.0,0.0,1.3,0.0
add dry fat lentil,"1 oz dry, yield after cooking",72.0,18.0,18.71,3.1,6.86,33.0,8.38,218.0,0.0,1.3,0.0
add dry fat lentil,1 cup,180.0,19.0,20.01,3.31,0.38,36.0,8.97,233.0,0.0,1.4,0.0
boston lettuce,1 cup,25.0,43.0,3.26,0.4,0.11,12.0,0.88,25.0,375.0,9.3,0.0
arugula lettuce,1 leaf,2.0,160.0,3.65,1.46,0.66,47.0,2.58,27.0,119.0,15.0,0.0
cook lettuce,Quantity not specified,43.0,36.0,4.21,0.29,3.11,12.0,1.06,169.0,340.0,6.4,0.0
lettuce sandwich use,Quantity not specified,8.0,31.0,3.69,0.26,0.1,11.0,0.92,23.0,302.0,8.0,0.0
lettuce,Quantity not specified,18.0,31.0,3.69,0.26,0.1,11.0,0.92,23.0,302.0,8.0,0.0
assort carrot dress exclude lettuce salad tomato vegetable,Quantity not specified,74.0,31.0,4.09,0.31,0.19,20.0,1.19,34.0,178.0,15.8,0.0
andor assort carrot dress include lettuce salad tomato vegetable,1 Burger King side salad,98.0,32.0,4.58,0.31,0.2,19.0,1.07,39.0,239.0,9.6,0.0
andor avocado carrot dress lettuce salad tomato vegetable without,Quantity not specified,87.0,28.0,5.5,0.37,3.39,22.0,1.29,33.0,195.0,9.9,0.0
