target_cleaned,recipe_cleaned,ingredient_cleaned,is_ok,ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,recipe,content,quantity,grammage,unit
green olive,,green olive,True,green olive,1 cup,135.0,52.0,3.84,0.49,15.32,11.0,1.03,1556.0,20.0,0.0,0.0,,,,,
bell pepper red,,cook pepper red,True,cook pepper red,1 miniature,30.0,6.0,6.71,0.36,2.78,11.0,0.92,126.0,162.0,121.5,0.0,,,,,
brazil nut,,brazil nut,True,brazil nut,1 cup,133.0,160.0,11.74,2.43,67.1,376.0,14.32,3.0,0.0,0.7,0.0,,,,,
bread pita,,bread pita,True,bread pita,1 small pita,28.0,86.0,55.7,2.62,1.2,26.0,9.1,536.0,0.0,0.0,0.0,,,,,
pasta wholemeal,,cook grain pasta whole,True,cook grain pasta whole,"1 cup, cooked",140.0,13.0,29.89,1.71,1.7,54.0,5.95,235.0,0.0,0.0,0.0,,,,,
dahl dhal lentil soup,,can lentil soup,True,can lentil soup,1 cup,255.0,15.0,7.22,0.86,0.64,12.0,2.48,264.0,52.0,1.8,0.0,,,,,
prosecco,,nan,True,,,,,,,,,,,,,,,,,,
bread toast,,bread rye toast,True,bread rye toast,1 small or thin/very thin slice,22.0,80.0,53.08,3.11,3.63,44.0,9.34,626.0,0.0,0.4,0.0,,,,,
pasta penne,,cook pasta,True,cook pasta,"1 oz, dry, yields",80.0,7.0,30.68,1.27,0.92,18.0,5.76,232.0,0.0,0.0,0.0,,,,,
salmon,,cook pasta,True,cook pasta,"1 oz, dry, yields",80.0,7.0,30.68,1.27,0.92,18.0,5.76,232.0,0.0,0.0,0.0,,,,,
cotta panna,,nan,True,,,,,,,,,,,,,,,,,,
juice lemon water,,form juice lemon n,True,form juice lemon n,Quantity not specified,8.0,6.0,6.9,0.08,0.24,6.0,0.35,1.0,0.0,38.7,0.0,,,,,
caffeine espresso,,coffee espresso,True,coffee espresso,1 espresso cup (2 fl oz),60.0,2.0,1.67,0.13,0.18,80.0,0.12,14.0,0.0,0.2,0.0,,,,,
egg prepare scramble,,egg egg fat n omelet scramble,True,egg egg fat n omelet scramble,1 cup,135.0,46.0,0.91,1.56,15.0,10.0,11.58,248.0,193.0,0.0,2.4,,,,,
juice orange,,juice orange,True,juice orange,1 individual school container,124.0,56.0,10.17,0.06,0.34,10.0,0.77,2.0,2.0,28.7,0.4,,,,,
