recipe,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Calcium_(MG)_total,Carbohydrates_(G)_total,Iron_(MG)_total,Lipid_(G)_total,Magnesium_(MG)_total,Protein_(G)_total,Sodium_(MG)_total,Vitamin_A_(UG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total
biscuit butter,recipe_1_person,87.5,64.85714285714286,26.917142857142856,0.4742857142857143,12.165714285714285,11.285714285714286,2.81,149.85714285714286,79.85714285714286,0.7,0.5714285714285714,56.75,23.552500000000002,0.415,10.645,9.875,2.45875,131.125,69.875,0.6125,0.5
black forest tart,recipe_1_person,475.0,11.18157894736842,36.01005263157895,2.832421052631579,3.9843684210526322,12.876315789473685,2.134315789473684,104.55263157894737,51.05,1.8976315789473683,0.0518421052631579,53.1125,171.04775,13.454,18.92575,61.1625,10.137999999999998,496.625,242.4875,9.01375,0.24625
boil shrimp,recipe_1_person,95.5,38.774869109947645,11.49759162303665,0.8542670157068062,1.9744764397905759,26.51832460732984,2.278193717277487,165.41884816753927,15.065445026178011,10.499738219895288,0.032722513089005235,37.029999999999994,10.9802,0.815825,1.8856249999999999,25.325,2.175675,157.975,14.3875,10.027250000000002,0.03125
bolognaise sauce,recipe_1_person,5437.0,16.595365091042854,0.7496854883207651,2.585065293360309,12.407677027772667,21.109435350377048,26.01963950708111,361.4750781681074,5.117711973514806,0.02567592422291705,0.09573294096008829,902.29,40.760400000000004,140.54999999999998,674.6053999999999,1147.72,1414.6878,19653.4,278.25,1.396,5.205
bouillon vegetable,recipe_1_person,175.5,44.42022792022792,14.193247863247864,0.8192735042735043,4.6196153846153845,19.08262108262108,2.9366951566951567,254.42307692307693,37.306267806267805,11.922507122507122,0.04487179487179487,77.95750000000001,24.90915,1.4378250000000001,8.107425000000001,33.49,5.1539,446.51250000000005,65.4725,20.924,0.07875
bouquet garni,recipe_1_person,56.25,1.0,7.8,0.02,0.19,0.0,0.0,3.0,0.0,0.0,0.0,0.5625,4.3875,0.01125,0.106875,0.0,0.0,1.6875,0.0,0.0,0.0
bowl noodle vermicelli,recipe_1_person,129.775,26.76825274513581,15.570471970718552,0.5675573107301097,2.909664804469274,10.226931227123869,2.50449239067617,127.27258717010208,12.317857830861104,5.21672124831439,0.0,34.7385,20.206580000000002,0.7365474999999999,3.7760175,13.271999999999998,3.2502050000000002,165.168,15.9855,6.7700000000000005,0.0
bread,recipe_1_person,79.5,90.937106918239,37.80738993710692,4.686320754716981,2.757861635220126,31.660377358490567,5.533647798742138,218.77987421383648,88.00314465408805,1.5738993710691824,0.550314465408805,72.295,30.056874999999998,3.7256249999999995,2.1925,25.17,4.399249999999999,173.93,69.9625,1.25125,0.4375
bread glutenfree,recipe_1_person,245.95,18.459036389510064,3.5129091278715188,0.07481195364911569,46.887578776174024,2.386257369384021,0.49309412482211834,22.56556210611913,8.081317340922952,0.11384427729213255,0.016263468184590364,45.4,8.64,0.18400000000000002,115.32,5.869,1.2127649999999999,55.5,19.876,0.28,0.04
bread olive,recipe_1_person,20.75,26.0,14.580000000000002,1.48,2.68,33.0,5.48,140.0,60.0,34.3,0.1,5.395,3.0253500000000004,0.3071,0.5561,6.8475,1.1371,29.05,12.45,7.117249999999999,0.02075
bread sourdough,recipe_1_person,0.775,106.0,7.73,1.36,10.06,17.0,12.86,384.0,82.0,0.8000000000000002,0.8000000000000002,0.8215,0.0599075,0.01054,0.077965,0.13175,0.099665,2.9760000000000004,0.6355000000000001,0.006200000000000001,0.006200000000000001
bread spell,recipe_1_person,41.0,11.0,19.83,1.08,4.26,8.0,1.87,296.0,28.0,0.10000000000000002,0.20000000000000004,4.51,8.1303,0.4428,1.7466,3.28,0.7667,121.36,11.48,0.04100000000000001,0.08200000000000002
bread wholemeal,recipe_1_person,174.1875,127.10548977395048,31.464513814137067,1.986767133118048,34.581173304628635,17.15859346968066,5.644230355220667,268.36060279870827,8.679224973089344,1.288589881593111,0.009329027628274129,221.401875,54.80725,3.4606999999999997,60.23608125,29.888125000000002,9.83154375,467.450625,15.118125000000001,2.2445625000000002,0.01625
breast chicken,recipe_1_person,156.5,75.60383386581469,10.830079872204472,0.680702875399361,6.256597444089456,33.150159744408946,3.8935143769968055,95.47923322683707,64.88658146964856,7.0007987220447285,0.4340255591054313,118.32,16.949075,1.0653,9.791575,51.88,6.093349999999999,149.425,101.5475,10.95625,0.67925
brownie,recipe_1_person,43.0,72.69767441860465,17.90453488372093,2.0831976744186047,8.500813953488372,47.23837209302326,6.423023255813954,176.34883720930233,59.25,3.512790697674419,0.18023255813953487,31.26,7.69895,0.895775,3.65535,20.312500000000004,2.7619,75.83000000000001,25.4775,1.5105,0.0775
buckwheat pancake,recipe_1_person,139.5,74.31003584229391,31.043906810035843,2.139426523297491,6.788405017921146,32.90860215053763,6.30752688172043,420.3351254480287,37.46415770609319,0.0,0.3010752688172043,103.66250000000001,43.306250000000006,2.9844999999999997,9.469825,45.9075,8.799,586.3675,52.2625,0.0,0.42
bulgur,recipe_1_person,35.0,10.0,18.48,0.9600000000000001,0.24000000000000002,32.0,3.06,219.0,0.0,0.0,0.0,3.5,6.468000000000001,0.336,0.084,11.2,1.0710000000000002,76.65,0.0,0.0,0.0
burger veggie,recipe_1_person,236.275,31.895460797799174,15.278149402179665,2.0152629351391385,8.689843402814518,22.593376362289703,11.681039043487461,341.77663739286845,6.13691672838853,3.7918738757803405,0.02962649455084118,75.361,36.098447500000006,4.7615625,20.531927500000002,53.3825,27.599375,807.5327500000001,14.5,8.959249999999999,0.07
butter campanelle parsley pasta,recipe_1_person,65.75,88.06844106463879,25.358479087452473,1.3893155893536124,10.787072243346008,15.82509505703422,5.92425855513308,211.73764258555133,52.239543726235745,0.06692015209125476,0.13155893536121674,57.904999999999994,16.6732,0.913475,7.0925,10.405,3.8951999999999996,139.2175,34.3475,0.044000000000000004,0.08650000000000001
butter herb,recipe_1_person,46.25,27.0,41.64,3.04,16.58,23.0,8.34,620.0,13.0,0.2,0.2,12.4875,19.2585,1.406,7.66825,10.6375,3.8572499999999996,286.75,6.0125,0.0925,0.0925
buttery maple syrup,recipe_1_person,22.5,4.0,17.97,0.04,0.17,4.0,0.25,1.0,0.0,40.8,0.0,0.9,4.04325,0.009000000000000001,0.03825,0.9,0.05625,0.225,0.0,9.18,0.0
cake carrot,recipe_1_person,149.625,32.2531328320802,20.68734335839599,0.4813617376775271,11.756708437761068,12.601503759398497,1.2891979949874686,216.484544695071,570.203842940685,16.659565580618214,1.0818713450292399,48.258750000000006,30.9534375,0.7202375,17.590974999999997,18.855,1.9289625,323.915,853.1675,24.926875000000003,1.61875
cake chocolate,recipe_1_person,293.5,25.308347529812607,55.51319420783645,0.7488671209540033,6.306192504258943,9.89778534923339,2.6799829642248723,150.0511073253833,13.356047700170357,4.166098807495741,0.1272572402044293,74.28,162.93122499999998,2.1979249999999997,18.508674999999997,29.05,7.86575,440.4,39.2,12.2275,0.3735
cake lemon,recipe_1_person,4.4,1.0,99.64829545454545,0.0528409090909091,0.22909090909090912,0.0,0.0,1.2840909090909092,0.0,0.0,0.0,0.044,4.384525,0.0023250000000000002,0.010080000000000002,0.0,0.0,0.0565,0.0,0.0,0.0
cake marble,recipe_1_person,51.25,42.41463414634146,19.235365853658536,1.4970731707317073,43.84975609756098,144.14634146341464,18.974390243902437,364.390243902439,0.0,0.0,0.0,21.7375,9.858125,0.76725,22.473,73.875,9.724375,186.75,0.0,0.0,0.0
cantonese fry rice,recipe_1_person,81.5,19.938650306748468,6.685521472392638,0.31478527607361967,8.074846625766872,11.687116564417177,1.9306748466257668,184.96932515337423,24.447852760736197,68.43251533742331,0.05521472392638037,16.25,5.4487,0.25655,6.5809999999999995,9.525,1.5735000000000001,150.75,19.925,55.7725,0.045
cappuccino,recipe_1_person,4.5,2.0,1.67,0.13,0.18,80.0,0.12000000000000001,14.0,0.0,0.2,0.0,0.09,0.07515,0.005849999999999999,0.0081,3.6,0.0054,0.63,0.0,0.009000000000000001,0.0
carbonara sauce,recipe_1_person,68.75,399.90909090909093,27.96727272727273,1.1363636363636365,16.619090909090907,24.09090909090909,13.535454545454545,750.7272727272727,118.72727272727273,0.0,0.7818181818181819,274.9375,19.2275,0.78125,11.425625,16.5625,9.305625,516.125,81.625,0.0,0.5375
cashew sauce vegan,recipe_1_person,18.5,33.972972972972975,22.63918918918919,4.3621621621621625,42.69810810810811,185.72972972972974,21.345675675675675,556.972972972973,3.5675675675675675,0.0,0.12972972972972974,6.285,4.18825,0.8069999999999999,7.899150000000001,34.36,3.94895,103.04,0.66,0.0,0.024000000000000004
caviar eggplant,recipe_1_person,10.0,9.0,5.88,0.23000000000000004,0.18,14.0,0.9800000000000001,2.0,1.0,2.2,0.0,0.9,0.588,0.023000000000000003,0.018,1.4,0.098,0.2,0.1,0.22,0.0
cheese cream,recipe_1_person,9.0,39.22222222222222,6.577777777777778,0.10222222222222223,42.373333333333335,6.0,1.6066666666666667,336.1111111111111,189.22222222222223,0.4222222222222222,0.9777777777777779,3.53,0.5920000000000001,0.0092,3.8136,0.54,0.1446,30.25,17.03,0.038,0.088
cheese fresh,recipe_1_person,72.25,115.3287197231834,12.42107266435986,0.33854671280276816,4.054048442906574,11.622837370242214,3.7714186851211076,121.42906574394463,31.017301038062282,1.0155709342560553,0.43771626297577854,83.325,8.974224999999999,0.2446,2.92905,8.3975,2.72485,87.7325,22.41,0.73375,0.31625
