recipe,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Calcium_(MG)_total,Carbohydrates_(G)_total,Iron_(MG)_total,Lipid_(G)_total,Magnesium_(MG)_total,Protein_(G)_total,Sodium_(MG)_total,Vitamin_A_(UG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total
praline,recipe_1_person,4.5,181.0,35.84,2.54,45.34,188.0,14.11,385.0,0.0,0.0,0.0,8.145,1.6128000000000002,0.1143,2.0403000000000002,8.46,0.63495,17.325,0.0,0.0,0.0
quinoa,recipe_1_person,196.0,37.50892857142857,10.578048469387753,1.1098341836734693,6.856836734693878,30.413265306122447,13.60466836734694,367.797193877551,18.502551020408163,0.16645408163265307,0.1914540816326531,73.5175,20.732974999999996,2.175275,13.439400000000001,59.61,26.665150000000004,720.8825,36.265,0.32625,0.37525
raclette,recipe_1_person,323.25,157.29775715390565,8.13890177880897,0.46175560711523583,8.180657385924208,19.177107501933488,6.429358081979892,108.81206496519721,76.65429234338747,6.063263727764888,0.12374323279195669,508.465,26.309,1.4926249999999999,26.443975000000002,61.99,20.7829,351.73499999999996,247.785,19.5995,0.4
rice wild,recipe_1_person,17.5,44.0,36.31,2.86,27.46,17.0,8.96,437.0,269.0,0.0,0.9,7.7,6.35425,0.5005,4.8055,2.975,1.568,76.475,47.075,0.0,0.1575
roast romanesco,recipe_1_person,7.0,178.0,51.92,3.71,6.44,26.0,10.84,465.0,1.0,0.2,0.0,12.46,3.6344,0.2597,0.45080000000000003,1.82,0.7587999999999999,32.55,0.07,0.014000000000000002,0.0
rosti,recipe_1_person,83.75,17.761194029850746,11.910000000000002,0.4334328358208955,6.867164179104478,16.582089552238806,3.6704477611940294,286.1044776119403,54.80597014925373,6.8283582089552235,0.15223880597014924,14.875,9.974625,0.363,5.751250000000001,13.8875,3.074,239.61249999999998,45.9,5.71875,0.1275
sauce tomato,recipe_1_person,107.75,8.14385150812065,7.410487238979118,0.42993039443155456,0.32712296983758704,7.215777262180975,0.6465429234338748,261.0580046403712,7.2227378190255225,6.180510440835267,0.0,8.775,7.984800000000001,0.46325,0.35247500000000004,7.775,0.69665,281.29,7.7825,6.6594999999999995,0.0
sausage swirl,recipe_1_person,114.5,0.1965065502183406,0.031004366812227072,0.026200873362445413,98.41157205240175,0.34934497816593885,0.404585152838428,17.77292576419214,0.611353711790393,0.0,0.03056768558951965,0.225,0.0355,0.03,112.68125,0.4,0.46325000000000005,20.35,0.7,0.0,0.035
spice tea,recipe_1_person,32.75,70.0,52.38,3.57,1.32,29.0,10.56,422.0,0.0,0.0,0.0,22.925,17.15445,1.1691749999999999,0.4323,9.4975,3.4584,138.205,0.0,0.0,0.0
tzatziki,recipe_1_person,87.5,89.0,20.02,0.66,3.67,29.0,9.22,58.0,7.0,0.0,0.7,77.875,17.5175,0.5775,3.21125,25.375,8.0675,50.75,6.125,0.0,0.6124999999999999
