name_readable,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Calcium_(MG)_total,Carbohydrates_(G)_total,Iron_(MG)_total,Lipid_(G)_total,Magnesium_(MG)_total,Protein_(G)_total,Sodium_(MG)_total,Vitamin_A_(UG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total
Walnut,1 cup,120.0,88.0,10.91,2.24,69.74,142.0,14.56,0.0,1.0,1.3,0.0,105.6,13.092,2.688,83.68799999999999,170.4,17.472,0.0,1.2,1.56,0.0
Ratatouille,Quantity not specified,108.0,21.0,5.77,0.44,4.73,14.0,1.09,151.0,20.0,18.7,0.0,22.68,6.231599999999999,0.4752,5.1084000000000005,15.12,1.1772,163.08,21.6,20.196,0.0
Bacon,1 tablespoon,7.0,101.0,28.6,0.72,25.9,95.0,32.0,1770.0,0.0,1.9,0.0,7.07,2.002,0.0504,1.813,6.65,2.24,123.9,0.0,0.1329999999999999,0.0
"Bacon, raw",1 tablespoon,7.0,101.0,28.6,0.72,25.9,95.0,32.0,1770.0,0.0,1.9,0.0,7.07,2.002,0.0504,1.813,6.65,2.24,123.9,0.0,0.1329999999999999,0.0
Bouillon,1 individual container,440.0,138.0,11.84,0.67,4.47,13.0,5.45,378.0,32.0,2.9,0.1,607.2,52.096,2.948,19.668,57.2,23.98,1663.2,140.8,12.76,0.44
Sesame seeds,1 cup,128.0,60.0,11.73,6.36,61.21,345.0,20.45,47.0,3.0,0.0,0.0,76.8,15.0144,8.1408,78.3488,441.6,26.176,60.16,3.84,0.0,0.0
Baked potato,1 cup,130.0,5.0,21.45,0.35,0.1,25.0,1.95,181.0,0.0,12.7,0.0,6.5,27.885,0.455,0.13,32.5,2.535,235.3,0.0,16.51,0.0
"Beetroot, raw",1 cup,38.0,117.0,4.33,2.57,0.13,70.0,2.2,226.0,316.0,30.0,0.0,44.46,1.6454,0.9766,0.0494,26.6,0.8360000000000001,85.88,120.08,11.4,0.0
Meat,Quantity not specified,60.0,15.0,0.0,1.91,11.29,22.0,27.13,363.0,3.0,0.0,0.3,9.0,0.0,1.146,6.774,13.2,16.278,217.8,1.8,0.0,0.18
"Risotto, without cheese, cooked",,,,,,,,,,,,,,,,,,,,,,
"Sauce, roast",Quantity not specified,244.0,13.0,3.22,0.78,5.58,21.0,18.97,542.0,16.0,0.1,0.0,31.72,7.856800000000001,1.9032,13.6152,51.24,46.28679999999999,1322.48,39.04,0.244,0.0
Philadelphia,Quantity not specified,30.0,97.0,4.56,0.0,33.49,9.0,5.79,368.0,274.0,0.0,0.0,29.1,1.368,0.0,10.047,2.7,1.737,110.4,82.2,0.0,0.0
"Mushroom, (average), stewed, without addition of fat, without addition of salt",Quantity not specified,255.0,16.0,6.29,0.8,4.11,17.0,8.93,308.0,131.0,7.0,0.0,40.8,16.0395,2.04,10.4805,43.35,22.7715,785.4,334.05,17.85,0.0
"Bell pepper, red, stewed, without addition of fat, without addition of salt",Quantity not specified,255.0,16.0,6.29,0.8,4.11,17.0,8.93,308.0,131.0,7.0,0.0,40.8,16.0395,2.04,10.4805,43.35,22.7715,785.4,334.05,17.85,0.0
White chocolate,1 large/king size,90.0,199.0,59.24,0.24,32.09,12.0,5.87,90.0,9.0,0.5,0.0,179.1,53.316,0.2159999999999999,28.881000000000004,10.8,5.283,81.0,8.1,0.45,0.0
"Pork, escalope",1 item,85.0,20.0,0.0,1.1,13.78,24.0,26.15,364.0,2.0,0.1,0.9,17.0,0.0,0.9350000000000002,11.713,20.4,22.2275,309.4,1.7,0.085,0.765
Breadcrumbs (unspiced),1 medium or regular slice,20.0,52.0,51.88,3.91,2.42,32.0,10.75,602.0,0.0,0.0,0.0,10.4,10.376,0.782,0.484,6.4,2.15,120.4,0.0,0.0,0.0
Fondue,1 tablespoon,13.0,639.0,1.95,0.32,21.2,27.0,19.32,303.0,188.0,0.0,0.2,83.07,0.2535,0.0416,2.756,3.51,2.5116,39.39,24.44,0.0,0.026
Honey,Quantity not specified,7.0,6.0,82.4,0.42,0.0,2.0,0.3,4.0,0.0,0.5,0.0,0.42,5.768000000000001,0.0294,0.0,0.14,0.021,0.28,0.0,0.035,0.0
Strawberries,Quantity not specified,75.0,17.0,7.96,0.26,0.22,13.0,0.64,0.0,1.0,59.6,0.0,12.75,5.97,0.195,0.165,9.75,0.48,0.0,0.75,44.7,0.0
"Pie, plum, baked, with cake dough",1 stick/twist,75.0,33.0,51.23,2.06,23.19,14.0,4.25,418.0,3.0,0.0,0.0,24.75,38.42249999999999,1.545,17.3925,10.5,3.1875,313.5,2.25,0.0,0.0
Mixed nuts,Quantity not specified,28.0,93.0,20.9,2.76,53.82,196.0,19.59,313.0,1.0,0.4,0.0,26.04,5.851999999999999,0.7728,15.0696,54.88,5.4852,87.64,0.28,0.112,0.0
"Bread, wholemeal toast",1 medium or regular slice,25.0,232.0,54.07,3.69,3.94,30.0,10.36,495.0,0.0,0.0,0.0,58.0,13.5175,0.9225,0.985,7.5,2.59,123.75,0.0,0.0,0.0
Red radish,1 slice,1.0,25.0,3.4,0.34,0.1,10.0,0.68,39.0,0.0,14.8,0.0,0.25,0.034,0.0034,0.001,0.1,0.0068,0.39,0.0,0.148,0.0
"Chicken, cut into stripes (only meat)",1 large or thick slice,85.0,7.0,0.0,0.5,8.28,23.0,24.7,316.0,17.0,0.0,0.1,5.95,0.0,0.425,7.037999999999999,19.55,20.995,268.6,14.45,0.0,0.085
Sun-dried tomatoe,Quantity not specified,28.0,110.0,55.76,9.09,2.97,194.0,14.11,107.0,44.0,39.2,0.0,30.8,15.6128,2.5452,0.8316000000000001,54.32,3.9508,29.96,12.32,10.976,0.0
"Bread, Ticino",1 large or thick slice,43.0,71.0,44.38,2.54,5.29,11.0,7.05,388.0,0.0,0.0,0.0,30.53,19.0834,1.0922,2.2747,4.73,3.0315,166.84,0.0,0.0,0.0
Soya drink (soy milk),Guideline amount per fl oz of beverage,2.5,97.0,5.22,0.52,2.05,21.0,3.41,33.0,56.0,0.0,0.7,2.425,0.1304999999999999,0.013,0.05125,0.525,0.08525,0.825,1.4,0.0,0.0175
French beans,Quantity not specified,92.0,84.0,23.32,3.45,6.83,59.0,9.04,221.0,0.0,0.0,0.0,77.28,21.4544,3.1740000000000004,6.2836,54.28,8.316799999999999,203.32,0.0,0.0,0.0
Meat balls,1 Bagel Thin,46.0,105.0,48.89,2.76,1.53,51.0,10.2,439.0,0.0,0.0,0.0,48.3,22.4894,1.2695999999999998,0.7038,23.46,4.692,201.94,0.0,0.0,0.0
Popcorn salted,1 large single serving bag,85.0,6.0,54.99,2.26,30.57,102.0,9.13,764.0,7.0,0.0,0.0,5.1,46.7415,1.921,25.9845,86.7,7.7605,649.4,5.95,0.0,0.0
Beer,1 bottle (40 fl oz),1200.0,4.0,3.55,0.02,0.0,6.0,0.46,4.0,0.0,0.0,0.0,48.0,42.6,0.24,0.0,72.0,5.52,48.0,0.0,0.0,0.0
Orange,1 fruit,154.0,42.0,11.78,0.22,0.14,10.0,0.92,4.0,11.0,56.2,0.0,64.68,18.1412,0.3388,0.2156,15.4,1.4168,6.16,16.94,86.54800000000002,0.0
"Chocolate, filled",1 large/king size,90.0,199.0,59.24,0.24,32.09,12.0,5.87,90.0,9.0,0.5,0.0,179.1,53.316,0.2159999999999999,28.881000000000004,10.8,5.283,81.0,8.1,0.45,0.0
Milk chocolate,1 individual school container,248.0,128.0,10.98,0.24,0.83,13.0,3.44,68.0,55.0,0.6,1.1,317.44,27.2304,0.5952,2.0584,32.24,8.5312,168.64,136.4,1.4879999999999998,2.728
Blueberries,Quantity not specified,75.0,12.0,14.57,0.34,0.31,6.0,0.7,0.0,3.0,8.1,0.0,9.0,10.9275,0.255,0.2325,4.5,0.525,0.0,2.25,6.075,0.0
"Yaourt, yahourt, yogourt ou yoghourt, natural",1 McDonald's parfait,150.0,86.0,16.08,0.43,2.18,21.0,5.25,44.0,7.0,13.5,0.6,129.0,24.119999999999997,0.645,3.27,31.5,7.875,66.0,10.5,20.25,0.9
"Bread, fruit",1 slice,41.0,146.0,47.34,2.07,18.1,25.0,6.01,302.0,34.0,1.3,0.5,59.86,19.4094,0.8486999999999999,7.421,10.25,2.4641,123.82,13.94,0.533,0.205
"Beef, cut into stripes (only meat)",1 cup,135.0,15.0,0.0,2.3,11.32,23.0,28.05,361.0,1.0,0.0,0.2,20.25,0.0,3.105,15.282,31.05,37.8675,487.35,1.35,0.0,0.27
Corn,1 cup,150.0,2.0,18.7,0.52,1.35,37.0,3.27,15.0,9.0,6.8,0.0,3.0,28.05,0.78,2.025,55.5,4.905,22.5,13.5,10.2,0.0
Tête de Moine,1 cubic inch,17.0,388.0,0.46,0.33,24.26,20.0,19.8,842.0,241.0,0.0,0.4,65.96,0.0782,0.0561,4.1242,3.4,3.366,143.14,40.97,0.0,0.068
White radish,1 tablespoon,15.0,56.0,11.29,0.42,0.69,27.0,1.18,420.0,0.0,24.9,0.0,8.4,1.6935,0.063,0.1035,4.05,0.177,63.0,0.0,3.735,0.0
"Sauce, pesto",1 tablespoon,16.0,207.0,5.67,1.87,59.17,61.0,8.61,988.0,91.0,3.6,0.1,33.12,0.9072,0.2992,9.4672,9.76,1.3776,158.08,14.56,0.5760000000000001,0.016
Parmesan,1 cup,100.0,917.0,8.36,0.3,28.75,35.0,29.87,1398.0,230.0,0.0,0.2,917.0,8.36,0.3,28.75,35.0,29.87,1398.0,230.0,0.0,0.2
Celery,1 stick,4.0,46.0,3.32,0.0,0.16,11.0,0.49,97.0,22.0,3.1,0.0,1.84,0.1328,0.0,0.0064,0.44,0.0196,3.88,0.88,0.124,0.0
Oat milk,Quantity not specified,244.0,155.0,5.37,0.21,2.33,8.0,0.66,43.0,0.0,0.0,1.7,378.2,13.1028,0.5124,5.6852,19.52,1.6104000000000005,104.92,0.0,0.0,4.148
"Soup, potato",1 cup,255.0,15.0,10.53,0.34,4.71,13.0,1.51,240.0,60.0,7.1,0.2,38.25,26.8515,0.867,12.0105,33.15,3.8505,612.0,153.0,18.105,0.51
"Crisp bread, Wasa",1 small or thin/very thin slice,32.0,52.0,51.88,3.91,2.42,32.0,10.75,602.0,0.0,0.0,0.0,16.64,16.6016,1.2512,0.7744,10.24,3.44,192.64,0.0,0.0,0.0
Grapes,1 cup,150.0,10.0,19.4,0.18,0.2,8.0,0.9,5.0,3.0,3.2,0.0,15.0,29.1,0.27,0.3,12.0,1.35,7.5,4.5,4.8,0.0
Pistachio,Quantity not specified,28.0,107.0,28.28,4.03,45.82,109.0,21.05,6.0,13.0,3.0,0.0,29.96,7.9184,1.1284,12.8296,30.52,5.894,1.68,3.64,0.84,0.0
Pecan nut,1 nut,1.5,55.0,12.7,2.37,73.28,103.0,9.96,0.0,3.0,1.1,0.0,0.825,0.1904999999999999,0.03555,1.0992,1.545,0.1494,0.0,0.045,0.0165,0.0
Tofu,"1 container, NFS",150.0,89.0,12.27,1.08,2.63,27.0,4.83,30.0,42.0,1.5,1.2,133.5,18.405,1.62,3.945,40.5,7.245,45.0,63.0,2.25,1.8
"Wine, white",Quantity not specified,180.0,9.0,2.6,0.27,0.0,10.0,0.07,5.0,0.0,0.0,0.0,16.2,4.68,0.486,0.0,18.0,0.126,9.0,0.0,0.0,0.0
Smoothie,Quantity not specified,324.0,80.0,11.98,0.19,1.1,14.0,2.32,28.0,20.0,9.5,0.6,259.2,38.8152,0.6156,3.5640000000000005,45.36,7.5168,90.72,64.8,30.78,1.944
Leek,Quantity not specified,85.0,62.0,14.74,2.19,3.05,29.0,1.57,151.0,94.0,10.6,0.0,52.7,12.529000000000002,1.8615,2.5925,24.65,1.3345000000000002,128.35,79.9,9.01,0.0
"Soup, vegetable",1 cup,245.0,12.0,5.08,0.2,0.45,11.0,0.84,243.0,36.0,8.9,0.0,29.4,12.446,0.49,1.1025,26.95,2.058,595.35,88.2,21.805,0.0
Kefir drink,1 fl oz,30.5,124.0,7.48,0.04,0.96,12.0,3.59,38.0,174.0,0.8,1.0,37.82,2.2814,0.0121999999999999,0.2927999999999999,3.66,1.09495,11.59,53.07,0.244,0.305
Semi-hard cheese,Quantity not specified,56.0,16.0,0.0,1.5,10.9,9.0,13.83,941.0,0.0,0.0,0.9,8.96,0.0,0.84,6.104,5.04,7.744800000000001,526.96,0.0,0.0,0.504
"Bread, rye",Quantity not specified,32.0,73.0,48.3,2.83,3.3,40.0,8.5,570.0,0.0,0.4,0.0,23.36,15.456,0.9056,1.056,12.8,2.72,182.4,0.0,0.128,0.0
Guacamole,1 tablespoon,15.0,12.0,8.45,0.54,14.18,28.0,1.95,344.0,7.0,10.2,0.0,1.8,1.2674999999999998,0.081,2.127,4.2,0.2925,51.6,1.05,1.53,0.0
M&M's,1 piece,8.0,163.0,51.77,2.2,33.66,86.0,10.99,64.0,47.0,0.0,0.0,13.04,4.1416,0.176,2.6928,6.88,0.8792,5.12,3.76,0.0,0.0
"Juice, multifruit",1 fl oz (with ice),23.0,21.0,12.1,0.08,0.26,7.0,0.29,5.0,1.0,34.7,0.1,4.83,2.783,0.0184,0.0598,1.61,0.0667,1.15,0.23,7.981,0.023
"Salad, rocket",Quantity not specified,88.0,30.0,17.62,0.39,15.74,13.0,1.25,189.0,521.0,6.1,0.0,26.4,15.5056,0.3432,13.8512,11.44,1.1,166.32,458.48,5.367999999999999,0.0
"Hamburger (Bread, meat, ketchup)",1 hamburger,145.0,73.0,18.74,2.72,14.4,34.0,18.18,333.0,0.0,0.0,0.1,105.85,27.173,3.944,20.88,49.3,26.361,482.85,0.0,0.0,0.145
Cookies,1 medium,30.0,21.0,65.36,5.58,24.72,41.0,5.1,311.0,0.0,0.0,0.0,6.3,19.608,1.6740000000000002,7.415999999999999,12.3,1.53,93.3,0.0,0.0,0.0
Cake (oblong),1 cup,50.0,70.0,61.0,2.72,2.7,11.0,5.4,623.0,44.0,0.0,0.2,35.0,30.5,1.36,1.35,5.5,2.7,311.5,22.0,0.0,0.1
"Pizza, with ham, with mushrooms, baked","1 piece, large pizza",155.0,158.0,29.44,2.39,9.46,21.0,9.51,490.0,61.0,3.5,0.0,244.9,45.632,3.7045,14.663000000000002,32.55,14.7405,759.5,94.55,5.425,0.0
Fruit coulis,1 fl oz (with ice),23.0,21.0,12.1,0.08,0.26,7.0,0.29,5.0,1.0,34.7,0.1,4.83,2.783,0.0184,0.0598,1.61,0.0667,1.15,0.23,7.981,0.023
Plums,Quantity not specified,75.0,6.0,11.42,0.17,0.28,7.0,0.7,0.0,17.0,9.5,0.0,4.5,8.565,0.1275,0.21,5.25,0.525,0.0,12.75,7.125,0.0
"Pizza, with ham, baked","1 piece, large pizza",155.0,158.0,29.44,2.39,9.46,21.0,9.51,490.0,61.0,3.5,0.0,244.9,45.632,3.7045,14.663000000000002,32.55,14.7405,759.5,94.55,5.425,0.0
Dates,1 cup,160.0,39.0,75.03,1.02,0.39,43.0,2.45,2.0,0.0,0.4,0.0,62.4,120.048,1.632,0.6240000000000001,68.8,3.92,3.2,0.0,0.64,0.0
Peanut butter,1 single serving,45.0,49.0,22.31,1.74,51.36,168.0,22.21,426.0,0.0,0.0,0.0,22.05,10.0395,0.7829999999999999,23.112,75.6,9.9945,191.7,0.0,0.0,0.0
"Beans, kidney",Quantity not specified,92.0,26.0,21.19,2.74,6.97,42.0,8.06,218.0,0.0,1.1,0.0,23.92,19.4948,2.5208,6.4124,38.64,7.415200000000001,200.56,0.0,1.012,0.0
Pineapple,1 chunk,15.0,12.0,14.09,0.05,0.21,13.0,0.46,0.0,3.0,58.6,0.0,1.8,2.1135,0.0075,0.0315,1.95,0.069,0.0,0.45,8.79,0.0
Cheddar,"1 cup, cubed",132.0,707.0,2.44,0.16,34.0,27.0,23.3,654.0,316.0,0.0,0.6,933.24,3.2208,0.2112,44.88,35.64,30.756,863.28,417.12,0.0,0.792
Ketchup,1 cup,272.0,14.0,27.1,0.39,0.32,14.0,1.08,928.0,26.0,4.1,0.0,38.08,73.712,1.0608,0.8704000000000001,38.08,2.9376,2524.16,70.72,11.151999999999996,0.0
"Tea, peppermint",Quantity not specified,360.0,2.0,0.2,0.08,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.2,0.72,0.288,0.0,3.6,0.0,3.6,0.0,0.0,0.0
Fajita (bread only),1 fajita,95.0,54.0,17.99,1.73,11.02,18.0,11.7,455.0,21.0,23.9,0.0,51.3,17.0905,1.6435,10.469,17.1,11.115,432.25,19.95,22.705,0.0
Sweet potato,"1 cup, mashed",250.0,22.0,17.14,0.4,4.53,19.0,1.58,161.0,684.0,12.4,0.0,55.0,42.85,1.0,11.325,47.5,3.95,402.5,1710.0,31.0,0.0
Savoury puff pastry stick,1 patty shell,47.0,10.0,45.7,2.6,38.5,16.0,7.4,253.0,0.0,0.0,0.0,4.7,21.479,1.222,18.095,7.52,3.478,118.91,0.0,0.0,0.0
"Chicken, leg","1 oz, cooked",28.35,12.0,0.0,1.09,13.44,22.0,22.45,396.0,14.0,0.0,0.2,3.4020000000000006,0.0,0.309015,3.81024,6.237,6.364574999999999,112.266,3.969,0.0,0.0567
Red cabbage,1 head,840.0,31.0,6.79,0.0,0.21,13.0,1.24,12.0,56.0,53.9,0.0,260.4,57.036,0.0,1.764,109.2,10.416,100.8,470.4,452.76,0.0
Croissant,1 mini croissant,28.0,37.0,45.8,2.03,21.0,16.0,8.2,300.0,206.0,0.2,0.0,10.36,12.823999999999998,0.5684,5.88,4.48,2.296,84.0,57.68,0.056,0.0
"Pasta, Hörnli","1 oz, dry, yields",115.0,6.0,14.45,0.41,2.21,7.0,2.47,174.0,19.0,0.4,0.1,6.9,16.6175,0.4715,2.5415,8.05,2.8405,200.1,21.85,0.46,0.115
"Chili con carne, prepared",1 can,440.0,20.0,10.82,1.84,3.38,25.0,8.5,357.0,11.0,6.0,0.0,88.0,47.608,8.096,14.872,110.0,37.4,1570.8,48.4,26.4,0.0
"Sweet corn, canned",1 cup,150.0,2.0,18.7,0.52,1.35,37.0,3.27,15.0,9.0,6.8,0.0,3.0,28.05,0.78,2.025,55.5,4.905,22.5,13.5,10.2,0.0
Processed cheese,1 cubic inch,17.0,388.0,0.46,0.33,24.26,20.0,19.8,842.0,241.0,0.0,0.4,65.96,0.0782,0.0561,4.1242,3.4,3.366,143.14,40.97,0.0,0.068
Goat cheese (soft),"1 cup, crumbled",140.0,298.0,0.12,1.62,29.84,29.0,21.58,415.0,407.0,0.0,0.5,417.2,0.168,2.268,41.776,40.6,30.212,581.0,569.8,0.0,0.7
Leaf spinach,Quantity not specified,100.0,58.0,6.11,0.76,6.09,67.0,2.39,450.0,257.0,15.1,0.3,58.0,6.11,0.76,6.09,67.0,2.39,450.0,257.0,15.1,0.3
"Pasta, tortelloni, stuffing",1 cup,190.0,67.0,18.04,1.83,7.51,15.0,12.28,434.0,70.0,0.0,0.8,127.3,34.276,3.477,14.268999999999998,28.5,23.332,824.6,133.0,0.0,1.52
Croissant with chocolate filling,Quantity not specified,70.0,36.0,49.4,2.25,22.79,36.0,7.4,242.0,165.0,0.2,0.0,25.2,34.58,1.575,15.953,25.2,5.18,169.4,115.5,0.14,0.0
Capers,1 spear,40.0,54.0,1.99,0.23,0.43,7.0,0.48,808.0,4.0,2.1,0.0,21.6,0.7959999999999999,0.092,0.172,2.8,0.192,323.2,1.6,0.84,0.0
Sweets / candies,Quantity not specified,100.0,17.0,37.69,0.31,3.48,14.0,1.18,121.0,514.0,9.3,0.0,17.0,37.69,0.31,3.48,14.0,1.18,121.0,514.0,9.3,0.0
Brie,"1 cup, NFS",144.0,184.0,0.45,0.5,27.68,20.0,20.75,629.0,174.0,0.0,0.5,264.96,0.648,0.72,39.8592,28.8,29.88,905.76,250.56,0.0,0.72
Peanut,"1 oz, NFS",28.35,58.0,21.26,1.58,49.66,178.0,24.35,410.0,0.0,0.0,0.0,16.443,6.027210000000001,0.44793,14.07861,50.463,6.903225000000001,116.235,0.0,0.0,0.0
"Syrup (diluted, ready to drink)",1 tablespoon,20.0,0.0,67.21,0.0,0.0,40.0,0.0,150.0,0.0,0.0,0.0,0.0,13.441999999999998,0.0,0.0,8.0,0.0,30.0,0.0,0.0,0.0
"Pasta, spaghetti",Quantity not specified,65.0,27.0,8.05,0.78,1.48,18.0,1.41,419.0,32.0,2.0,0.0,17.55,5.2325,0.507,0.962,11.7,0.9165,272.35,20.8,1.3,0.0
Sauerkraut,Quantity not specified,30.0,30.0,4.16,1.42,2.53,13.0,0.9,659.0,26.0,12.8,0.1,9.0,1.2480000000000002,0.4259999999999999,0.7589999999999999,3.9,0.27,197.7,7.8,3.84,0.03
Mustard,Guideline amount on regular sandwich,5.0,63.0,5.3,1.59,3.38,48.0,4.25,1100.0,4.0,0.4,0.0,3.15,0.265,0.0795,0.1689999999999999,2.4,0.2125,55.0,0.2,0.02,0.0
Vegetables,Quantity not specified,60.0,35.0,5.83,0.26,0.26,13.0,1.19,53.0,206.0,28.7,0.0,21.0,3.498,0.156,0.156,7.8,0.714,31.8,123.6,17.22,0.0
"Soup, tomato",1 cup,245.0,11.0,3.64,0.44,0.41,9.0,0.65,244.0,36.0,5.9,0.0,26.95,8.918000000000001,1.078,1.0045,22.05,1.5925,597.8,88.2,14.455,0.0
Apple pie,1 individual pie,150.0,11.0,37.55,1.23,15.28,8.0,2.7,217.0,40.0,0.5,0.1,16.5,56.325,1.845,22.92,12.0,4.05,325.5,60.0,0.75,0.15
"White bread with butter, eggs and milk",1 submarine,175.0,132.0,26.1,2.5,9.05,19.0,10.46,353.0,92.0,0.0,1.1,231.0,45.675,4.375,15.837500000000002,33.25,18.305000000000003,617.75,161.0,0.0,1.9250000000000005
Savoury puff pastry,1 patty shell,47.0,10.0,45.7,2.6,38.5,16.0,7.4,253.0,0.0,0.0,0.0,4.7,21.479,1.222,18.095,7.52,3.478,118.91,0.0,0.0,0.0
Pomegranate,1 cup,175.0,10.0,18.7,0.3,1.17,12.0,1.67,3.0,0.0,10.2,0.0,17.5,32.725,0.525,2.0475,21.0,2.9225,5.25,0.0,17.849999999999998,0.0
Anchovies,1 can,45.0,232.0,0.0,4.63,9.71,69.0,28.89,3668.0,12.0,0.0,1.7,104.4,0.0,2.0835,4.3695,31.05,13.0005,1650.6,5.4,0.0,0.765
"Tuna, in oil, drained",1 small can,75.0,18.0,0.08,1.67,0.94,23.0,19.0,219.0,17.0,0.0,1.2,13.5,0.06,1.2525,0.705,17.25,14.25,164.25,12.75,0.0,0.9
Lemon pie,1 cup,250.0,40.0,31.48,0.6,16.16,7.0,2.41,169.0,83.0,0.9,0.4,100.0,78.7,1.5,40.4,17.5,6.025,422.5,207.5,2.25,1.0
Pumpkin seeds,Quantity not specified,28.0,52.0,14.71,8.07,49.05,550.0,29.84,18.0,0.0,1.8,0.0,14.56,4.1188,2.2596000000000003,13.733999999999998,154.0,8.3552,5.04,0.0,0.504,0.0
"Beans, white",Quantity not specified,92.0,84.0,23.32,3.45,6.83,59.0,9.04,221.0,0.0,0.0,0.0,77.28,21.4544,3.1740000000000004,6.2836,54.28,8.316799999999999,203.32,0.0,0.0,0.0
Sugar Melon,1 cup,155.0,6.0,9.09,0.17,0.14,10.0,0.54,18.0,3.0,18.0,0.0,9.3,14.0895,0.2635,0.217,15.5,0.8370000000000001,27.9,4.65,27.9,0.0
Mixed seeds,Quantity not specified,28.0,66.0,21.73,4.87,49.61,234.0,21.96,7.0,0.0,1.5,0.0,18.48,6.0844000000000005,1.3636,13.8908,65.52,6.1488,1.96,0.0,0.42,0.0
Hamburger,Quantity not specified,145.0,66.0,20.68,2.83,14.38,21.0,17.51,355.0,0.0,0.5,0.1,95.7,29.986,4.1035,20.851,30.45,25.3895,514.75,0.0,0.725,0.145
"Latte macchiato, with caffeine",1 espresso cup (2 fl oz),60.0,43.0,2.71,0.09,0.83,58.0,1.18,22.0,19.0,0.2,0.4,25.8,1.626,0.0539999999999999,0.498,34.8,0.708,13.2,11.4,0.12,0.24
Celeriac,1 stick,4.0,46.0,3.32,0.0,0.16,11.0,0.49,97.0,22.0,3.1,0.0,1.84,0.1328,0.0,0.0064,0.44,0.0196,3.88,0.88,0.124,0.0
"Pasta, twist",1 cup,155.0,6.0,9.09,0.17,0.14,10.0,0.54,18.0,3.0,18.0,0.0,9.3,14.0895,0.2635,0.217,15.5,0.8370000000000001,27.9,4.65,27.9,0.0
Coriander,1 individual container,75.0,54.0,30.4,0.14,2.0,8.0,1.1,46.0,12.0,2.3,0.0,40.5,22.8,0.105,1.5,6.0,0.825,34.5,9.0,1.725,0.0
"Cenovis, yeast spread",Guideline amount per slice of bread/roll,20.0,108.0,62.36,4.38,29.73,64.0,5.41,41.0,1.0,0.0,0.0,21.6,12.472,0.8759999999999999,5.946000000000001,12.8,1.082,8.2,0.2,0.0,0.0
Milk,Guideline amount per cup of hot cereal,61.0,125.0,4.83,0.0,2.14,12.0,3.33,39.0,58.0,0.1,1.1,76.25,2.9463,0.0,1.3054,7.32,2.0313,23.79,35.38,0.061,0.671
Thickened cream (> 35%),1 boneless wing,35.0,38.0,19.98,0.9,11.82,25.0,11.39,827.0,24.0,0.5,0.1,13.3,6.993,0.315,4.137,8.75,3.9865,289.45,8.4,0.175,0.035
Berries,Quantity not specified,75.0,16.0,9.94,0.28,0.25,11.0,0.66,0.0,2.0,44.2,0.0,12.0,7.455,0.21,0.1875,8.25,0.495,0.0,1.5,33.15,0.0
Meringue,1 meringue,22.0,5.0,75.34,0.1,0.04,7.0,7.17,113.0,0.0,0.0,0.0,1.1,16.5748,0.022,0.0088,1.54,1.5774,24.86,0.0,0.0,0.0
Biscuits,Quantity not specified,45.0,70.0,42.82,2.76,18.92,15.0,7.08,979.0,18.0,0.0,0.0,31.5,19.269,1.242,8.514000000000001,6.75,3.1860000000000004,440.55,8.1,0.0,0.0
Beef,"1 piece/slice, any size",30.0,18.0,0.0,2.66,13.04,20.0,27.13,372.0,4.0,0.0,0.1,5.4,0.0,0.7980000000000002,3.912,6.0,8.139,111.6,1.2,0.0,0.03
Lemon,1 slice or wedge,8.0,26.0,9.32,0.6,0.3,8.0,1.1,2.0,1.0,53.0,0.0,2.08,0.7456,0.048,0.024,0.64,0.088,0.16,0.08,4.24,0.0
Chives,Quantity not specified,3.0,92.0,4.35,1.6,0.73,42.0,3.27,3.0,218.0,58.1,0.0,2.76,0.1304999999999999,0.048,0.0219,1.26,0.0981,0.09,6.54,1.743,0.0
"Birchermüesli, prepared, no sugar added",1 McDonald's parfait,150.0,86.0,16.08,0.43,2.18,21.0,5.25,44.0,7.0,13.5,0.6,129.0,24.119999999999997,0.645,3.27,31.5,7.875,66.0,10.5,20.25,0.9
Crackers,1 miniature/bite size,1.0,120.0,61.3,4.03,26.43,18.0,6.64,726.0,0.0,0.0,0.0,1.2,0.613,0.0403,0.2643,0.18,0.0664,7.26,0.0,0.0,0.0
Fish crunchies (battered),Quantity not specified,85.0,35.0,11.72,1.53,12.89,25.0,14.06,387.0,14.0,0.7,0.0,29.75,9.962,1.3005000000000002,10.9565,21.25,11.951,328.95,11.9,0.595,0.0
"Beef, filet",Quantity not specified,60.0,10.0,0.0,2.74,12.04,22.0,29.41,377.0,1.0,0.0,0.2,6.0,0.0,1.644,7.224,13.2,17.646,226.2,0.6,0.0,0.12
Spring roll (fried),Quantity not specified,120.0,72.0,39.94,0.96,19.82,20.0,4.19,575.0,0.0,1.5,0.0,86.4,47.92799999999999,1.152,23.784,24.0,5.0280000000000005,690.0,0.0,1.8,0.0
