name_readable,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Calcium_(MG)_total,Carbohydrates_(G)_total,Iron_(MG)_total,Lipid_(G)_total,Magnesium_(MG)_total,Protein_(G)_total,Sodium_(MG)_total,Vitamin_A_(UG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total
Balsamic salad dressing,recipe_1_person,23.25,10.0,4.32,0.3,0.29,10.0,0.8600000000000001,236.0,23.0,49.8,0.0,2.325,1.0044000000000002,0.0697499999999999,0.067425,2.325,0.19995,54.87,5.3475,11.578499999999998,0.0
Romanesco,recipe_1_person,3.5,1.0,0.0,0.56,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.035,0.0,0.0196,3.5,0.0,0.0,0.07,0.0,0.0,0.0
Bulgur,recipe_1_person,35.0,10.0,18.48,0.96,0.24,32.0,3.06,219.0,0.0,0.0,0.0,3.5,6.468000000000001,0.336,0.084,11.2,1.0710000000000002,76.65,0.0,0.0,0.0
Cappuccino,recipe_1_person,4.5,2.0,1.67,0.13,0.18,80.0,0.12,14.0,0.0,0.2,0.0,0.09,0.07515,0.0058499999999999,0.0081,3.6,0.0054,0.63,0.0,0.009,0.0
"Chicken, wing",recipe_1_person,3.5,17.0,17.25,0.7299999999999999,13.95,28.0,19.22,769.0,3.0,1.1,0.2,0.595,0.60375,0.0255499999999999,0.4882499999999999,0.98,0.6727,26.915,0.105,0.0385,0.007
Gruyère,recipe_1_person,12.5,48.0,0.96,1.67,9.96,11.0,12.4,129.0,180.0,0.0,2.5,6.0,0.12,0.20875,1.245,1.375,1.55,16.125,22.5,0.0,0.3125
Fresh cheese,recipe_1_person,15.25,125.0,4.83,0.0,2.14,12.0,3.33,39.0,58.0,0.1,1.1,19.0625,0.736575,0.0,0.32635,1.83,0.507825,5.9475,8.845,0.01525,0.16775
Rosti,recipe_1_person,3.5,21.0,0.06,0.06,82.2,2.0,0.85,524.0,758.0,0.0,0.4,0.735,0.0021,0.0021,2.877,0.07,0.02975,18.34,26.53,0.0,0.014
Fennel,recipe_1_person,6.25,49.0,7.3,0.73,0.2,17.0,1.24,52.0,48.0,12.0,0.0,3.0625,0.45625,0.045625,0.0125,1.0625,0.0775,3.25,3.0,0.75,0.0
Crunch Müesli,recipe_1_person,2.5,52.0,67.7,4.25,6.519999999999999,138.0,13.15,6.0,0.0,0.0,0.0,1.3,1.6925,0.10625,0.1629999999999999,3.45,0.32875,0.15,0.0,0.0,0.0
"Turnover with meat (small meat pie, empanadas)",recipe_1_person,10.0,39.0,78.62,1.3,0.62,24.0,2.28,32.0,25.0,5.5,0.0,3.9,7.862,0.13,0.062,2.4,0.2279999999999999,3.2,2.5,0.55,0.0
